Ins,LB.2nd.Stage,Time.LB,OP.status,MP.Status,SP.Status,Num.Iteration,"#Avg,Iter",Gap,Total.Time,Avg.Total.Time,Total.Time.MP,Total.Time.SP,Avg.Time.MP,Avg.Time.SP,UB,LB,Obj.MP,Obj-F1F2,Obj-theta,Obj-SP,Num.OptCut,Num.NogoodCut
30_19,-1,0,-1,1,-1,13,,0.074888,3605.066494,,133.708891,3471.357604,10.285299,267.027508,64494.33258,60001,60001,60001,0,-1,0,11
30_21,-1,0,-1,1,-1,16,,0.076718,3605.13884,,256.595351,3348.543489,16.037209,209.283968,64606.33256,60003,60003,60003,0,-1,1,13
30_15,-1,0,-1,1,-1,14,,0.078664,3605.173367,,175.991213,3429.182154,12.570801,244.941582,64721.99952,60002,60002,60002,0,-1,1,11
30_16,-1,0,-1,1,-1,14,,0.074443,3605.038783,,130.652953,3474.38583,9.332354,248.170416,64467.66666,60000.99666,60000.99666,60000.99666,0,-1,3,9
30_20,-1,0,-1,1,-1,22,,0.075997,3605.181581,,416.052889,3189.128692,18.911495,144.960395,64561.99952,60002,60002,60002,0,-1,0,20
30_25,-1,0,-1,1,-1,10,,0.081607,3605.497866,,301.781691,3303.716175,30.178169,330.371618,64899.66611,60003,60003,60003,0,-1,2,6
30_24,-1,0,-1,1,-1,19,,0.076832,3605.022391,,143.418986,3461.603405,7.548368,182.189653,64610.99996,60001,60001,60001,0,-1,0,17
30_9,-1,0,-1,1,-1,22,,0.068999,3605.254128,,1175.713293,2429.540835,53.441513,110.433674,74830.99989,70001,70001,70001,0,-1,1,19
30_13,-1,0,-1,1,-1,5,,0.070713,3605.180018,,2829.195522,775.984496,565.839104,155.196899,74950.99941,70001,70001,70001,0,-1,1,2
30_28,-1,0,-1,1,-1,13,,0.080831,3605.156092,,194.39962,3410.756471,14.953817,262.365882,64851.99945,60002,60002,60002,0,-1,0,11
30_27,-1,0,-1,-1,-1,2,,0.615962,5607.774,,5357.509,250.25,2678.7545,125.125,573.666655,355,355,355,0,218.666655,0,0
30_29,-1,0,-1,1,-1,21,,0.07372,3605.087769,,205.145859,3399.941911,9.76885,161.901996,64425.33294,60002,60002,60002,0,-1,0,19
30_30,-1,0,-1,1,-1,16,,0.082497,3605.005526,,160.5054,3444.500126,10.031587,215.281258,64951.99945,60002,60002,60002,0,-1,0,14
40_6,-1,0,-1,1,-1,1,,-1,3605.328777,,13.003439,3592.325338,13.003439,3592.325338,100000,40002,40002,40002,0,-1,-1,0
40_3,-1,0,-1,1,-1,1,,-1,3605.292648,,13.533331,3591.759317,13.533331,3591.759317,100000,40002,40002,40002,0,-1,-1,0
40_5,-1,0,-1,1,-1,1,,-1,3605.995541,,27.458056,3578.537485,27.458056,3578.537485,100000,40003,40003,40003,0,-1,-1,0
40_2,-1,0,-1,1,-1,1,,-1,3605.608174,,149.725395,3455.882779,149.725395,3455.882779,100000,50001,50001,50001,0,-1,-1,0
40_4,-1,0,-1,1,-1,1,,-1,3605.412732,,232.433759,3372.978973,232.433759,3372.978973,100000,50001,50001,50001,0,-1,-1,0
40_1,-1,0,-1,1,-1,1,,-1,3607.157307,,16.980658,3590.176649,16.980658,3590.176649,100000,40001,40001,40001,0,-1,-1,0
40_8,-1,0,-1,1,-1,1,,-1,3605.207913,,28.088731,3577.119182,28.088731,3577.119182,100000,40002,40002,40002,0,-1,-1,0
40_7,-1,0,-1,1,-1,2,,0.149597,3605.561834,,66.503829,3539.058005,33.251915,1769.529002,57481.00019,50001,50001,50001,0,-1,0,0
40_9,-1,0,-1,1,-1,1,,-1,3605.692041,,12.236427,3593.455614,12.236427,3593.455614,100000,40001,40001,40001,0,-1,-1,0
40_12,-1,0,-1,1,-1,1,,-1,3605.195034,,85.267655,3519.927379,85.267655,3519.927379,100000,50001,50001,50001,0,-1,-1,0
40_10,-1,0,-1,1,-1,1,,-1,3605.094222,,31.781442,3573.31278,31.781442,3573.31278,100000,40002,40002,40002,0,-1,-1,0
40_13,-1,0,-1,1,-1,2,,0.123198,3605.08474,,56.277039,3548.807701,28.13852,1774.403851,56160.9997,50001,50001,50001,0,-1,0,0
40_11,-1,0,-1,1,-1,6,,0.150242,3605.067628,,133.199958,3471.86767,22.199993,578.644612,46011.99962,40002,40002,40002,0,-1,1,3
40_14,-1,0,-1,1,-1,1,,-1,3605.278694,,12.45288,3592.825814,12.45288,3592.825814,100000,40002,40002,40002,0,-1,-1,0
40_15,-1,0,-1,1,-1,1,,-1,3605.204943,,17.930133,3587.27481,17.930133,3587.27481,100000,40001,40001,40001,0,-1,-1,0
40_18,-1,0,-1,1,-1,1,,-1,3605.220762,,19.047454,3586.173308,19.047454,3586.173308,100000,40002,40002,40002,0,-1,-1,0
40_17,-1,0,-1,1,-1,1,,-1,3605.755997,,34.057173,3571.698824,34.057173,3571.698824,100000,40002,40002,40002,0,-1,-1,0
40_16,-1,0,-1,1,-1,1,,-1,3605.303082,,134.70473,3470.598352,134.70473,3470.598352,100000,50001,50001,50001,0,-1,-1,0
40_21,-1,0,-1,1,-1,1,,-1,3605.284663,,32.676705,3572.607958,32.676705,3572.607958,100000,40002,40002,40002,0,-1,-1,0
40_20,-1,0,-1,1,-1,2,,0.153746,3605.019352,,27.988739,3577.030613,13.99437,1788.515306,46151.00066,40001,40001,40001,0,-1,0,0
40_19,-1,0,-1,1,-1,2,,0.152989,3606.27634,,35.896512,3570.379828,17.948256,1785.189914,46122.99929,40003,40003,40003,0,-1,0,0
40_22,-1,0,-1,1,-1,1,,-1,3605.233919,,355.63189,3249.602029,355.63189,3249.602029,100000,50001,50001,50001,0,-1,-1,0
40_23,-1,0,-1,1,-1,1,,-1,3605.953383,,10.876313,3595.07707,10.876313,3595.07707,100000,40002,40002,40002,0,-1,-1,0
40_26,-1,0,-1,1,-1,1,,-1,3605.52651,,32.790607,3572.735903,32.790607,3572.735903,100000,40002,40002,40002,0,-1,-1,0
40_24,-1,0,-1,1,-1,1,,-1,3605.865852,,24.306005,3581.559847,24.306005,3581.559847,100000,40002,40002,40002,0,-1,-1,0
40_28,-1,0,-1,1,-1,1,,-1,3606.473209,,20.528399,3585.94481,20.528399,3585.94481,100000,40001,40001,40001,0,-1,-1,0
40_27,-1,0,-1,1,-1,2,,0.218652,3605.036336,,4.737935,3600.298401,2.368968,1800.1492,36561.99944,30002,30002,30002,0,-1,0,0
40_25,-1,0,-1,1,-1,1,,-1,3606.939403,,40.217336,3566.722067,40.217336,3566.722067,100000,50001,50001,50001,0,-1,-1,0
40_29,-1,0,-1,1,-1,1,,-1,3605.333641,,213.445964,3391.887677,213.445964,3391.887677,100000,50001,50001,50001,0,-1,-1,0
40_30,-1,0,-1,1,-1,2,,0.122998,3606.574154,,51.506234,3555.06792,25.753117,1777.53396,56150.99957,50001,50001,50001,0,-1,0,0
50_1,-1,0,-1,1,-1,1,,-1,3606.632128,,68.924034,3537.708094,68.924034,3537.708094,100000,50002,50002,50002,0,-1,-1,0
50_3,-1,0,-1,1,-1,1,,-1,3605.654803,,14.190292,3591.464511,14.190292,3591.464511,100000,50001,50001,50001,0,-1,-1,0
50_4,-1,0,-1,1,-1,1,,-1,3605.510481,,69.234398,3536.276083,69.234398,3536.276083,100000,50001,50001,50001,0,-1,-1,0
50_6,-1,0,-1,1,-1,1,,-1,3606.060621,,21.489391,3584.57123,21.489391,3584.57123,100000,50001,50001,50001,0,-1,-1,0
50_2,-1,0,-1,1,-1,1,,-1,3606.714234,,193.38645,3413.327784,193.38645,3413.327784,100000,60001,60001,60001,0,-1,-1,0
50_5,-1,0,-1,1,-1,1,,-1,3605.309308,,35.807827,3569.501481,35.807827,3569.501481,100000,50002,50002,50002,0,-1,-1,0
50_7,-1,0,-1,1,-1,1,,-1,3607.219684,,29.666434,3577.55325,29.666434,3577.55325,100000,50003,50003,50003,0,-1,-1,0
50_10,-1,0,-1,1,-1,1,,-1,3605.306489,,198.616665,3406.689824,198.616665,3406.689824,100000,60001,60001,60001,0,-1,-1,0
50_11,-1,0,-1,1,-1,1,,-1,3605.524867,,1056.044067,2549.4808,1056.044067,2549.4808,100000,60001,60001,60001,0,-1,-1,0
50_8,-1,0,-1,1,-1,1,,-1,3606.847979,,32.106556,3574.741423,32.106556,3574.741423,100000,50002,50002,50002,0,-1,-1,0
50_9,-1,0,-1,1,-1,1,,-1,3605.850439,,1752.59366,1853.256779,1752.59366,1853.256779,100000,60001,60001,60001,0,-1,-1,0
50_15,-1,0,-1,1,-1,1,,-1,3605.436595,,18.616294,3586.820301,18.616294,3586.820301,100000,50001,50001,50001,0,-1,-1,0
50_19,-1,0,-1,1,-1,1,,-1,3605.361462,,23.034613,3582.326849,23.034613,3582.326849,100000,40003,40003,40003,0,-1,-1,0
50_16,-1,0,-1,1,-1,1,,-1,3605.585458,,15.544464,3590.040994,15.544464,3590.040994,100000,50001,50001,50001,0,-1,-1,0
50_18,-1,0,-1,1,-1,1,,-1,3606.709279,,33.41789,3573.291389,33.41789,3573.291389,100000,50001,50001,50001,0,-1,-1,0
50_13,-1,0,-1,1,-1,1,,-1,3607.90352,,47.383666,3560.519854,47.383666,3560.519854,100000,60001,60001,60001,0,-1,-1,0
50_12,-1,0,-1,1,-1,1,,-1,3606.231849,,22.571413,3583.660436,22.571413,3583.660436,100000,50001,50001,50001,0,-1,-1,0
50_14,-1,0,-1,1,-1,1,,-1,3607.32669,,1267.090723,2340.235967,1267.090723,2340.235967,100000,60001,60001,60001,0,-1,-1,0
50_17,-1,0,-1,1,-1,1,,-1,3605.042928,,1799.349396,1805.693532,1799.349396,1805.693532,100000,60001,60001,60001,0,-1,-1,0
50_21,-1,0,-1,1,-1,1,,-1,3605.337372,,35.886665,3569.450707,35.886665,3569.450707,100000,50002,50002,50002,0,-1,-1,0
50_20,-1,0,-1,1,-1,1,,-1,3605.404068,,85.457294,3519.946774,85.457294,3519.946774,100000,50002,50002,50002,0,-1,-1,0
50_22,-1,0,-1,1,-1,1,,-1,3606.280963,,1263.975613,2342.30535,1263.975613,2342.30535,100000,60001,60001,60001,0,-1,-1,0
50_23,-1,0,-1,1,-1,1,,-1,3605.456831,,56.106086,3549.350745,56.106086,3549.350745,100000,50002,50002,50002,0,-1,-1,0
50_24,-1,0,-1,1,-1,1,,-1,3606.147973,,316.14869,3289.999283,316.14869,3289.999283,100000,60002,60002,60002,0,-1,-1,0
50_25,-1,0,-1,1,-1,1,,-1,3606.822399,,40.998783,3565.823616,40.998783,3565.823616,100000,50002,50002,50002,0,-1,-1,0
50_26,-1,0,-1,1,-1,1,,-1,3606.697053,,26.946438,3579.750615,26.946438,3579.750615,100000,50003,50003,50003,0,-1,-1,0
50_29,-1,0,-1,1,-1,1,,-1,3605.516134,,28.680795,3576.835339,28.680795,3576.835339,100000,50001,50001,50001,0,-1,-1,0
50_27,-1,0,-1,1,-1,1,,-1,3605.17968,,243.561704,3361.617976,243.561704,3361.617976,100000,60001,60001,60001,0,-1,-1,0
50_28,-1,0,-1,1,-1,1,,-1,3609.776234,,207.673382,3402.102852,207.673382,3402.102852,100000,60001,60001,60001,0,-1,-1,0
50_30,-1,0,-1,1,-1,1,,-1,3606.147252,,25.341118,3580.806134,25.341118,3580.806134,100000,50001,50001,50001,0,-1,-1,0
60_2,-1,0,-1,-1,-1,1,,-1,3605.116824,,3605.116824,0,3605.116824,0,100000,0.001,-1,-1,-1,-1,-1,0
60_1,-1,0,-1,1,-1,1,,-1,3606.501041,,38.423418,3568.077623,38.423418,3568.077623,100000,60001,60001,60001,0,-1,-1,0
60_3,-1,0,-1,1,-1,1,,-1,3605.274549,,43.310474,3561.964075,43.310474,3561.964075,100000,60004,60004,60004,0,-1,-1,0
60_5,-1,0,-1,-1,-1,1,,-1,3605.015678,,3605.015678,0,3605.015678,0,100000,0.001,-1,-1,-1,-1,-1,0
60_4,-1,0,-1,1,-1,1,,-1,3605.05159,,66.533857,3538.517733,66.533857,3538.517733,100000,60001,60001,60001,0,-1,-1,0
