Ins,LB.2nd.Stage,Time.LB,Avg.Time.LB,Num.Nodes,Avg.Nodes,Num.Arcs,Avg.Arcs,Time.Build.G1,Avg.Time.Build.G1,Time.Find.SP,ShortestPath.Cost,Solve optimally by Heu,Num.Ins.Opt.Heu,Kahn_Heu is feasible,Kahn_SP2 is feasible,Obj.MP,Obj.SP,Total.Cost,Avg.Cost,Total.Time,Avg.Time,Num.LBBD.Iters,Avg.Iter,UB,currentLB,OP.Status,MP.Status,SP.Status,Gap,MP.gap,SP.gap,Total.Time.MP,Avg.T.Time.MP,Total.Time.SP,Avg.T.Time.SP,Num.SP-1.Solved,Avg.Time.MP,Avg.MP.Time,Avg.Time.SP,Avg.SP.Time,Num.Lazy1,Num.Lazy2,Num.Lazy3,Num.SP-Nogood.Cuts,Avg.Num.Lazy1,Avg.Num.Lazy2,Avg.Num.Lazy3,Avg.Num.SP-No.Cuts,Time.Solve.SP2-S2,Num.SP-S2.Solved,Avg.Time.Solve.SP-S2
15_5,2279.999822,0.012876,,60190,,297910,,0.097,,0.05,40004,0,,0,0,40004,2279.999822,42283.99982,,0.278931,,1,,42283.99982,42283.99982,1,1,1,0,0,0,0.05,,0.119055,,1,0.05,,0.119055,,22,1,5,0,22,1,5,0,0.008,1,0.008
15_4,2279.999909,0.01254,,30733,,136361,,0.04,,0.012,50002,1,,0,1,50002,2279.999909,52281.99991,,0.06454,,1,,52281.99991,52281.99991,1,1,1,0,0,0,0.012,,0,,0,0.012,,0,,0,0,0,0,0,0,0,0,0.019,1,0.019
15_7,2239.999905,0.01787,,28627,,127291,,0.036,,0.008,40003,1,,1,0,40003,2239.999905,42242.99991,,0.06187,,1,,42242.99991,42242.99991,1,1,1,0,0,0,0.008,,0,,0,0.008,,0,,0,0,0,0,0,0,0,0,0,0,0
15_8,2439.999872,0.0125,,20370,,82181,,0.025,,0.005,40002,1,,1,0,40002,2439.999872,42441.99987,,0.0425,,1,,42441.99987,42441.99987,1,1,1,0,0,0,0.005,,0,,0,0.005,,0,,0,0,0,0,0,0,0,0,0,0,0
15_11,2306.666443,0.021295,,16095,,62898,,0.017,,0.003,40002,1,,0,1,40002,2306.666443,42308.66644,,0.041295,,1,,42308.66644,42308.66644,1,1,1,0,0,0,0.003,,0,,0,0.003,,0,,0,0,0,0,0,0,0,0,0.007,1,0.007
15_3,2439.999872,0.011662,,19198,,76557,,0.021,,0.004,50001,1,,1,0,50001,2439.999872,52440.99987,,0.036662,,1,,52440.99987,52440.99987,1,1,1,0,0,0,0.004,,0,,0,0.004,,0,,0,0,0,0,0,0,0,0,0,0,0
15_6,2286.666551,0.017867,,46862,,217589,,0.064,,0.015,40003,1,,0,1,40003,2286.666551,42289.66655,,0.096867,,1,,42289.66655,42289.66655,1,1,1,0,0,0,0.015,,0,,0,0.015,,0,,0,0,0,0,0,0,0,0,0.007,1,0.007
15_10,2279.999909,0.01887,,60802,,301645,,0.098,,0.02,50003,1,,1,0,50003,2279.999909,52282.99991,,0.13687,,1,,52282.99991,52282.99991,1,1,1,0,0,0,0.02,,0,,0,0.02,,0,,0,0,0,0,0,0,0,0,0,0,0
15_16,2266.666734,0.023098,,58225,,287855,,0.088,,0.019,50003,0,,0,0,50003,2266.666734,52269.66673,,0.332911,,1,,52269.66673,52269.66673,1,1,1,0,0,0,0.019,,0.202813,,1,0.019,,0.202813,,33,1,8,0,33,1,8,0,0.02,1,0.02
15_12,2186.666638,0.014047,,37061,,169417,,0.049,,0.011,50002,1,,1,0,50002,2186.666638,52188.66664,,0.074047,,1,,52188.66664,52188.66664,1,1,1,0,0,0,0.011,,0,,0,0.011,,0,,0,0,0,0,0,0,0,0,0,0,0
15_13,2279.999909,0.011574,,41101,,187009,,0.055,,0.014,30004,0,,0,0,30004,2279.999897,32283.9999,,0.224916,,1,,32283.9999,32283.99991,1,1,1,0,0,0,0.014,,0.144342,,1,0.014,,0.144342,,17,0,5,0,17,0,5,0,0.014,2,0.007
15_15,2239.999905,0.011969,,42346,,197647,,0.061,,0.037,50002,1,,1,0,50002,2239.999905,52241.99991,,1.70968,,3,,52241.99991,52241.99991,1,1,1,0,0,0,0.792,,0.844711,,2,0.264,,0.28157,,182,0,35,5,60,0,11,1,0.112,7,0.016
15_17,2280.000076,0.012588,,42751,,201944,,0.06,,0.014,50003,1,,1,0,50003,2280.000076,52283.00008,,0.086588,,1,,52283.00008,52283.00008,1,1,1,0,0,0,0.014,,0,,0,0.014,,0,,0,0,0,0,0,0,0,0,0,0,0
15_18,2499.999559,0.012068,,48290,,232081,,0.069,,0.018,50003,1,,1,0,50003,2499.999559,52502.99956,,0.099068,,1,,52502.99956,52502.99956,1,1,1,0,0,0,0.018,,0,,0,0.018,,0,,0,0,0,0,0,0,0,0,0,0,0
15_20,2339.999938,0.011681,,38060,,173915,,0.053,,0.012,50002,1,,0,1,50002,2339.999938,52341.99994,,0.076681,,1,,52341.99994,52341.99994,1,1,1,0,0,0,0.012,,0,,0,0.012,,0,,0,0,0,0,0,0,0,0,0.008,1,0.008
15_14,2253.333169,0.017409,,37061,,169417,,0.049,,0.011,50002,0,,0,0,50002,2253.333169,52255.33317,,0.638348,,1,,52255.33317,52255.33317,1,1,1,0,0,0,0.011,,0.560939,,1,0.011,,0.560939,,49,1,12,1,49,1,12,1,0.066,2,0.033
15_19,2253.333253,0.01215,,14920,,60100,,0.015,,0.002,50002,1,,1,0,50002,2253.333253,52255.33325,,0.02915,,1,,52255.33325,52255.33325,1,1,1,0,0,0,0.002,,0,,0,0.002,,0,,0,0,0,0,0,0,0,0,0,0,0
15_21,2386.666641,0.019795,,43635,,203659,,0.059,,0.015,50002,1,,0,1,50002,2386.666641,52388.66664,,0.093795,,1,,52388.66664,52388.66664,1,1,1,0,0,0,0.015,,0,,0,0.015,,0,,0,0,0,0,0,0,0,0,0.019,1,0.019
15_27,2266.666734,0.011435,,20463,,83097,,0.023,,0.004,40002,1,,1,0,40002,2266.666734,42268.66673,,0.038435,,1,,42268.66673,42268.66673,1,1,1,0,0,0,0.004,,0,,0,0.004,,0,,0,0,0,0,0,0,0,0,0,0,0
15_26,2186.666638,0.01826,,51550,,250622,,0.075,,0.017,50003,0,,0,0,50003,2186.666631,52189.66663,,0.315241,,1,,52189.66663,52189.66664,1,1,1,0,0,0,0.017,,0.204981,,1,0.017,,0.204981,,57,0,5,0,57,0,5,0,0.009,1,0.009
15_22,2253.333253,0.013323,,66030,,332129,,0.104,,0.023,40004,1,,1,0,40004,2253.333253,42257.33325,,0.140323,,1,,42257.33325,42257.33325,1,1,1,0,0,0,0.023,,0,,0,0.023,,0,,0,0,0,0,0,0,0,0,0,0,0
15_28,2499.999559,0.012181,,20463,,83097,,0.022,,0.004,40002,1,,1,0,40002,2499.999559,42501.99956,,0.038181,,1,,42501.99956,42501.99956,1,1,1,0,0,0,0.004,,0,,0,0.004,,0,,0,0,0,0,0,0,0,0,0,0,0
15_29,2426.666433,0.011943,,40556,,192608,,0.056,,0.015,50003,1,,1,0,50003,2426.666433,52429.66643,,0.082943,,1,,52429.66643,52429.66643,1,1,1,0,0,0,0.015,,0,,0,0.015,,0,,0,0,0,0,0,0,0,0,0,0,0
15_23,2273.333168,0.011627,,52440,,254453,,0.078,,0.017,50003,1,,1,0,50003,2273.333168,52276.33317,,0.106627,,1,,52276.33317,52276.33317,1,1,1,0,0,0,0.017,,0,,0,0.017,,0,,0,0,0,0,0,0,0,0,0,0,0
15_30,2279.999909,0.013246,,6853,,22658,,0.005,,0.001,30001,0,,0,0,30001,2279.999909,32280.99991,,2.100356,,3,,32280.99991,32280.99991,1,1,1,0,0,0,0.832,,1.25011,,3,0.277333,,0.416703,,276,1,55,3,92,0,18,1,0.105,8,0.013125
15_25,2253.333223,0.013141,,43635,,203659,,0.064,,0.034,50002,0,,0,0,50002,2253.333223,52255.33322,,0.235013,,1,,52255.33322,52255.33322,1,1,1,0,0,0,0.034,,0.123872,,1,0.034,,0.123872,,4,0,3,0,4,0,3,0,0.015,2,0.0075
15_24,2226.666451,0.012058,,66030,,332129,,0.104,,0.022,40004,1,,1,0,40004,2226.666451,42230.66645,,0.138058,,1,,42230.66645,42230.66645,1,1,1,0,0,0,0.022,,0,,0,0.022,,0,,0,0,0,0,0,0,0,0,0,0,0
20_4,3039.999801,0.021479,0.020278233,260907,316982.3,1386100,1752760.1,0.496,0.635833333,0.151,50004,1,15,1,0,50004,3039.999801,53043.9998,62097.09985,0.668479,1.361958267,1,1.066666667,53043.9998,53043.9998,1,1,1,0,0,0,0.151,0.1852,0,0.5206467,0,0.151,0.159816667,0,0.447711833,0,0,0,0,0,0,0,0,0,0,0
20_3,3060.00005,0.015109,,367468,,2023616,,0.724,,0.14,50003,1,,0,1,50003,3060.00005,53063.00005,,0.879109,,1,,53063.00005,53063.00005,1,1,1,0,0,0,0.14,,0,,0,0.14,,0,,0,0,0,0,0,0,0,0,0.032,1,0.032
20_2,3019.999963,0.023413,,511587,,2970596,,1.094,,0.222,60003,1,,1,0,60003,3019.999963,63022.99996,,1.339413,,1,,63022.99996,63022.99996,1,1,1,0,0,0,0.222,,0,,0,0.222,,0,,0,0,0,0,0,0,0,0,0,0,0
20_1,3059.999853,0.018889,,535857,,3135549,,1.162,,0.233,60003,1,,0,1,60003,3059.999853,63062.99985,,1.413889,,1,,63062.99985,63062.99985,1,1,1,0,0,0,0.233,,0,,0,0.233,,0,,0,0,0,0,0,0,0,0,0.032,1,0.032
20_5,3020.000046,0.029445,,437335,,2500514,,0.907,,0.209,60003,0,,0,0,60003,3020.000046,63023.00005,,2.945514,,1,,63023.00005,63023.00005,1,1,1,0,0,0,0.209,,1.800069,,1,0.209,,1.800069,,314,1,51,8,314,1,51,8,0.568,9,0.063111
20_6,3079.999599,0.019467,,163937,,809738,,0.272,,0.066,70001,0,,0,0,70001,3079.999599,73080.9996,,0.830252,,1,,73080.9996,73080.9996,1,1,1,0,0,0,0.066,,0.472785,,1,0.066,,0.472785,,27,4,11,0,27,4,11,0,0.039,1,0.039
20_10,3079.999599,0.02016,,136244,,647029,,0.207,,0.058,70001,1,,1,0,70001,3079.999599,73080.9996,,0.28516,,1,,73080.9996,73080.9996,1,1,1,0,0,0,0.058,,0,,0,0.058,,0,,0,0,0,0,0,0,0,0,0,0,0
20_7,3200.000018,0.01927,,310644,,1687645,,0.595,,0.118,50003,0,,0,0,50003,3200.000015,53203.00002,,2.652026,,1,,53203.00002,53203.00002,1,1,1,0,0,0,0.118,,1.919756,,1,0.118,,1.919756,,504,1,95,6,504,1,95,6,0.598,7,0.085429
20_9,3199.999768,0.020727,,417982,,2339999,,0.887,,0.164,60002,1,,1,0,60002,3199.999768,63201.99977,,1.071727,,1,,63201.99977,63201.99977,1,1,1,0,0,0,0.164,,0,,0,0.164,,0,,0,0,0,0,0,0,0,0,0,0,0
20_8,3059.999973,0.019633,,540272,,3164637,,1.178,,0.256,60003,1,,0,1,60003,3059.999973,63062.99997,,1.453633,,1,,63062.99997,63062.99997,1,1,1,0,0,0,0.256,,0,,0,0.256,,0,,0,0,0,0,0,0,0,0,0.032,1,0.032
20_18,2939.999947,0.027025,,157494,,804172,,0.279,,0.103,50004,1,,1,0,50004,2939.999947,52943.99995,,0.409025,,1,,52943.99995,52943.99995,1,1,1,0,0,0,0.103,,0,,0,0.103,,0,,0,0,0,0,0,0,0,0,0,0,0
20_17,3119.999531,0.017478,,197447,,991004,,0.336,,0.076,60002,0,,0,0,60002,3119.999507,63121.99951,,1.147906,,1,,63121.99951,63121.99953,1,1,1,0,0,0,0.076,,0.718428,,1,0.076,,0.718428,,113,3,6,1,113,3,6,1,0.207,2,0.1035
20_11,3059.999853,0.025902,,196354,,990054,,0.336,,0.098,50002,0,,0,0,50002,3059.999853,53061.99985,,1.459831,,1,,53061.99985,53061.99985,1,1,1,0,0,0,0.098,,0.999929,,1,0.098,,0.999929,,83,0,22,3,83,0,22,3,0.32,4,0.08
20_13,3260.000038,0.018961,,272270,,1447185,,0.516,,0.108,60003,0,,0,0,60003,3260.000038,63263.00004,,1.772713,,1,,63263.00004,63263.00004,1,1,1,0,0,0,0.108,,1.129752,,1,0.108,,1.129752,,31,1,16,10,31,1,16,10,0.466,11,0.042364
20_16,3000,0.013641,,383487,,2170794,,0.817,,0.151,60004,1,,1,0,60004,3000,63004,,0.981641,,1,,63004,63004,1,1,1,0,0,0,0.151,,0,,0,0.151,,0,,0,0,0,0,0,0,0,0,0,0,0
20_14,3279.999441,0.021214,,215939,,1096359,,0.368,,0.083,60001,1,,1,0,60001,3279.999441,63280.99944,,0.472214,,1,,63280.99944,63280.99944,1,1,1,0,0,0,0.083,,0,,0,0.083,,0,,0,0,0,0,0,0,0,0,0,0,0
20_12,3059.999853,0.019749,,234517,,1202328,,0.408,,0.09,60001,0,,0,0,60001,3059.999853,63060.99985,,1.763525,,1,,63060.99985,63060.99985,1,1,1,0,0,0,0.09,,1.245776,,1,0.09,,1.245776,,178,4,169,5,178,4,169,5,0.182,6,0.030333
20_15,3059.999727,0.018427,,155427,,763579,,0.249,,0.063,60003,0,,0,0,60003,3059.999727,63062.99973,,1.411334,,1,,63062.99973,63062.99973,1,1,1,0,0,0,0.063,,1.080907,,1,0.063,,1.080907,,461,1,76,0,461,1,76,0,0.053,1,0.053
20_20,2999.999827,0.017735,,540272,,3164637,,1.215,,0.273,60003,0,,0,0,60003,2999.999827,63002.99983,,1.769751,,1,,63002.99983,63002.99983,1,1,1,0,0,0,0.273,,0.264016,,1,0.273,,0.264016,,9,2,29,0,9,2,29,0,0.043,2,0.0215
20_19,2999.99983,0.018761,,577126,,3398652,,1.297,,0.258,60003,0,,0,0,60003,2999.99983,63002.99983,,1.780041,,1,,63002.99983,63002.99983,1,1,1,0,0,0,0.258,,0.20628,,1,0.258,,0.20628,,12,1,2,0,12,1,2,0,0.026,1,0.026
20_21,3119.999665,0.022443,,183818,,920879,,0.303,,0.089,60001,1,,0,1,60001,3119.999665,63120.99967,,0.414443,,1,,63120.99967,63120.99967,1,1,1,0,0,0,0.089,,0,,0,0.089,,0,,0,0,0,0,0,0,0,0,0.032,1,0.032
20_22,3220.000142,0.024273,,197396,,993139,,0.33,,0.083,60001,0,,0,0,60001,3220.000142,63221.00014,,0.662264,,1,,63221.00014,63221.00014,1,1,1,0,0,0,0.083,,0.224991,,1,0.083,,0.224991,,8,2,3,0,8,2,3,0,0.021,1,0.021
20_26,2999.999762,0.02114,,105249,,481479,,0.15,,0.037,60001,1,,1,0,60001,2999.999762,63000.99976,,0.20814,,1,,63000.99976,63000.99976,1,1,1,0,0,0,0.037,,0,,0,0.037,,0,,0,0,0,0,0,0,0,0,0,0,0
20_30,3079.99976,0.019612,,219833,,1151706,,0.405,,0.117,50004,0,,0,0,50004,3079.99976,53083.99976,,1.247603,,1,,53083.99976,53083.99976,1,1,1,0,0,0,0.117,,0.705991,,1,0.117,,0.705991,,159,1,8,0,159,1,8,0,0.038,1,0.038
20_25,3039.999616,0.01702,,417892,,2384842,,0.881,,0.192,60004,1,,0,1,60004,3039.999616,63043.99962,,1.09002,,1,,63043.99962,63043.99962,1,1,1,0,0,0,0.192,,0,,0,0.192,,0,,0,0,0,0,0,0,0,0,0.032,1,0.032
20_27,3260.000038,0.020571,,156590,,769046,,0.265,,0.099,70001,1,,1,0,70001,3260.000038,73261.00004,,0.384571,,1,,73261.00004,73261.00004,1,1,1,0,0,0,0.099,,0,,0,0.099,,0,,0,0,0,0,0,0,0,0,0,0,0
20_28,3120.00007,0.020593,,153482,,735141,,0.252,,0.094,60001,0,,0,0,60001,3120.000046,63121.00005,,3.679568,,2,,63121.00005,63121.00007,1,1,1,0,0,0,0.37,,3.036975,,2,0.185,,1.518487,,557,2,66,19,278,1,33,9,0.756,22,0.034364
